strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,tier,original_gate,relaxed_5pct_gate,avoided_5pct_drawdown,hard_20d_recovery,median_recovery_20d,majority_recovery_20d,original_joint,relaxed_joint
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_trend_150d__all_weather_sleeve_trend_200,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_trend_150d', 'all_weather_sleeve_trend_200'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05710165158476155,0.056980255310767,0.04337080938535594,0.9869815488768203,-0.047352946019515785,0.0153179711794108,1.205873264173004,-0.006742092395434163,-0.012710672395040534,0.12133576886643582,259,259,140,0,,,0,0,0.16689620792967266,0.2296475374054052,0.04530223557572044,0.06359900857234124,0.027315034090546808,0.0,0.033661918877240016,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""SPY_trend_150d"": 0.125, ""all_weather_sleeve_trend_200"": 0.125, ""credit_canary_equity_allocation"": 0.125}",,,-0.0006623645992663851,-0.018979364537612176,-0.04595983334485276,-0.046664904970340926,-0.02210934056493874,-0.03967280145522023,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__all_weather_sleeve_trend_200,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'all_weather_sleeve_trend_200'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.056876378363065916,0.056758371408011765,0.040985704488319716,1.0517293622319996,-0.048207785069689923,0.012384725270999847,1.1798172905236062,-0.006278044381840917,0.0013779002684397579,0.1107963829916021,223,223,198,0,,,0,0,0.1657605561835029,0.22328348657776192,0.048486062115024486,0.061484913466691715,0.034629743018376846,0.0,0.03987275324895778,0.0,"{""QQQ_vol_target_12"": 0.16666666666666666, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.16666666666666666, ""credit_canary_equity_allocation"": 0.16666666666666666}",,,0.0052692057812913085,-0.01886181435149381,-0.04613722371495199,-0.046566966149777844,-0.020719131986388417,-0.04160401847239803,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__SPY_trend_150d__retail_all_weather_fixed__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'SPY_trend_150d', 'retail_all_weather_fixed', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05682078880575303,0.05669771331807105,0.042067140196481195,0.9890040022291543,-0.04815557040313312,0.014744243713197115,1.1799421817679503,-0.006401850386382737,-0.012373694614304598,0.11033908820001925,258,258,147,0,,,0,0,0.14422920170505385,0.23288173717184912,0.042490238695696014,0.06472672613871167,0.025720024172138256,0.0,0.03324178117539667,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""SPY_trend_150d"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""retail_all_weather_fixed"": 0.1}",,,-0.012997764466434747,-0.021257819527936928,-0.03912094305865166,-0.04186287992654292,-0.0358717104416203,-0.04815557040313312,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__all_weather_sleeve_trend_200__SPY_95_105_collar__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'all_weather_sleeve_trend_200', 'SPY_95_105_collar', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05680636051580201,0.056687324930571936,0.04167917817736909,1.0004750978590433,-0.045225398078163837,0.014393689096317672,1.256072095100691,-0.006363104248120462,-0.018802280897600276,0.12454520619147025,303,303,137,0,,,0,0,0.16449616649797077,0.22524655616482966,0.043646373900285695,0.06406022884791573,0.02671189662549156,0.0,0.035335517928943405,0.0,"{""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,-0.011628831962017139,-0.025193893068677586,-0.03739650311225573,-0.038018910021265784,-0.02870782532881966,-0.036911664574190484,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__SPY_trend_150d__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'SPY_trend_150d', 'retail_all_weather_fixed'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05657766690368682,0.05645914371679406,0.04264436080967027,1.0166592482905166,-0.04676418487347278,0.01453066146807368,1.209850381371253,-0.006511348744555498,-0.02220875462486316,0.10073237777339172,308,308,142,0,,,0,0,0.14177295480609253,0.2243196448565336,0.047263088405480325,0.06169736647340862,0.025214929753544224,0.0,0.03262115567584689,0.0,"{""SHY"": 0.5, ""SPY_trend_150d"": 0.16666666666666666, ""credit_canary_equity_allocation"": 0.16666666666666666, ""retail_all_weather_fixed"": 0.16666666666666666}",,,0.009749065358599429,-0.01280956381935372,-0.03577686488657417,-0.045111183625971996,-0.015983573279748864,-0.03631339500543762,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__retail_all_weather_fixed__all_weather_sleeve_trend_200__recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed', 'all_weather_sleeve_trend_200', 'recovery_sector_barbell_M_cyc65_mom63_ma100_top2'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05643598335977229,0.05632007810144124,0.039746209472892605,1.0722533235569547,-0.04226589131904612,0.012812829239340011,1.3352606936350293,-0.006020252356026471,-0.017533894936385797,0.10386236637546054,297,297,138,0,,,0,0,0.14226135653042574,0.21940034051592514,0.0485837106433169,0.060747289609202504,0.029251799597680206,0.0,0.03454244764015546,0.0,"{""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,0.007406201720967509,-0.018762243399573997,-0.03630620625548742,-0.03705771667391977,-0.02258554290149839,-0.0380623214478073,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend__all_weather_sleeve_trend_200__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'all_weather_sleeve_trend_200', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05632174828067393,0.056201637302209395,0.040948183002052455,1.0045799747982418,-0.045054927333247896,0.014276309229536568,1.2500685632914512,-0.006226840801775508,-0.006851229571472106,0.12399203922660318,289,289,179,0,,,0,0,0.17073189528418484,0.22738344818447137,0.0417159354765646,0.06438122807842062,0.028557191274853233,0.0,0.03896551438812135,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,-0.016035203366058348,-0.030744193592463498,-0.04375526599268986,-0.04449112515735787,-0.03220337495093706,-0.04395577896584746,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__sector_low_ulcer_positive_trend__SPY_trend_150d__retail_all_weather_fixed__SPY_95_105_collar,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'sector_low_ulcer_positive_trend', 'SPY_trend_150d', 'retail_all_weather_fixed', 'SPY_95_105_collar'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05615163069414453,0.05603155432480933,0.041766525916768195,0.9894430510031053,-0.04905563504572097,0.015220476247608371,1.1446519985279964,-0.00633894676576032,-0.020954109171498092,0.11785542987746656,247,247,139,0,,,0,0,0.15586401813824777,0.22734926465259384,0.04102573242359253,0.0645013273386208,0.022930384399388215,0.0,0.03466629306588964,0.0,"{""SHY"": 0.5, ""SPY_95_105_collar"": 0.1, ""SPY_trend_150d"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,-0.013349111935980651,-0.023760006003191836,-0.0374510059934724,-0.0384553227700003,-0.02937874267410956,-0.04080559456988608,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__QQQ_vol_target_12__sector_low_ulcer_positive_trend__retail_all_weather_fixed__all_weather_sleeve_trend_200,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed', 'all_weather_sleeve_trend_200'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.055949955661842354,0.05583349335460053,0.0390448337746413,1.077694565205962,-0.04537866060791207,0.012251968415432933,1.232957405800715,-0.005848233038499595,-0.0055255695699022445,0.10329681915006761,283,283,115,0,,,0,0,0.14773614673901841,0.22055354710388833,0.04665307276173736,0.061059883092954736,0.03164784846935076,0.0,0.038220710562293814,0.0,"{""QQQ_vol_target_12"": 0.1, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.1, ""credit_canary_equity_allocation"": 0.1, ""retail_all_weather_fixed"": 0.1, ""sector_low_ulcer_positive_trend"": 0.1}",,,0.0029589289794749174,-0.024334435411412003,-0.04266941280158565,-0.0431262966469208,-0.02611487157443182,-0.04516274755393446,credit_2008_2021,False,True,True,False,False,False,False,True
credit__s50__credit_canary_equity_allocation__retail_all_weather_fixed,Monthly ETF strategy-sleeve ensemble,credit_2008_2021,credit_2008_2021,"Monthly equal-weight ('credit_canary_equity_allocation', 'retail_all_weather_fixed'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2008-02-01,2021-12-31,13.90079365079365,0.05585439580612839,0.0557447554137942,0.04120341749816947,1.0764942857232922,-0.04799043745138076,0.013510846908087045,1.1638651108924485,-0.006022959742833622,-0.006408239010251782,0.08819052752542156,268,268,115,0,,,0,0,0.13448959457128756,0.2076449727820317,0.05288395962369563,0.05747947915024132,0.033841323524884004,0.0,0.03894287056385459,0.0,"{""SHY"": 0.5, ""credit_canary_equity_allocation"": 0.25, ""retail_all_weather_fixed"": 0.25}",,,0.023978641699691883,-0.01503399959816143,-0.030856117371866776,-0.040892348192210104,-0.010766523214722157,-0.047990437451380874,credit_2008_2021,False,True,True,False,False,False,False,True
full__s50__QQQ_vol_target_12__sector_low_ulcer_positive_trend__retail_all_weather_fixed__all_weather_sleeve_trend_200,Monthly ETF strategy-sleeve ensemble,full_gfc_2007_2021,full_gfc_2007_2021,"Monthly equal-weight ('QQQ_vol_target_12', 'sector_low_ulcer_positive_trend', 'retail_all_weather_fixed', 'all_weather_sleeve_trend_200'); 50% risk, residual SHY.",Sleeve-level screen; underlying ETF orders require weight aggregation and netting,2007-02-01,2021-12-31,14.90079365079365,0.05585163310421626,0.05574139943221512,0.03846922421580848,0.9430550970059117,-0.04958265464526279,0.012546194945049766,1.126434909623227,-0.005695362580386338,-0.006575910216915726,0.10368273942699968,299,299,135,0,,,0,0,0.12902692963429993,0.2087771164659445,0.05168651691236792,0.05859752880825564,0.02920673526401041,0.0,0.03467728267466619,0.0,"{""QQQ_vol_target_12"": 0.125, ""SHY"": 0.5, ""all_weather_sleeve_trend_200"": 0.125, ""retail_all_weather_fixed"": 0.125, ""sector_low_ulcer_positive_trend"": 0.125}",0.008050980581594702,-0.049507313036854406,0.0016114485415072988,-0.029894033942401088,-0.04205277666295859,-0.04231370960772218,-0.031014560564946447,-0.0495826546452629,full_gfc_2007_2021,False,True,True,False,False,False,False,True
