strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,deflated_sharpe_probability,target_gate,selection_score,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns
ETF_RPAR,Live risk-parity ETF,risk_parity_live,short_live_product,"Buy-and-hold live ETF RPAR, evaluated only from its actual inception through 2021.",ETF-only,2019-12-13,2021-12-31,2.0515873015873014,0.1300456357922947,0.1297723111542952,0.1227431010264639,0.964293352006854,-0.1982108613356713,0.0331339249286708,0.6560974253174838,-0.0186424971600669,0.0006394070812072,0.1940026185787626,0.6432985892504206,0.0,,0.1300456357922947,,,,,"{""RPAR"": 1.0}",,,,,,,-0.1355487647225567,-0.1982108613356715,,False,0.5648975173754786,90,57,57,51.0,0.3333333333333333,3,0
ETF_DBMF,Live alternative/trend ETF,managed_futures_live,short_live_product,"Buy-and-hold live ETF DBMF, evaluated only from its actual inception through 2021.",ETF-only,2019-05-08,2021-12-31,2.6587301587301586,0.0893375929624464,0.0891327128003833,0.1260715384398599,0.6095263723057153,-0.1042777819420973,0.0421878463381766,0.8567270160392675,-0.0201878602183243,0.018011409994417,0.1149239687506744,0.5598282155123178,0.0,,0.0893375929624464,,,,,"{""DBMF"": 1.0}",,,,,,,-0.0593415276848986,-0.1042777819420975,,False,0.5359758679038817,243,225,225,72.0,0.0,4,1
ETF_UJAN,Live protection ETF,protection_live,short_live_product,"Buy-and-hold live ETF UJAN, evaluated only from its actual inception through 2021.",ETF-only,2019-01-03,2021-12-31,3.0,0.0806326048574841,0.0804547269457731,0.0762408054204212,0.7756680590565969,-0.136923597695928,0.023294112243376,0.5888875709835522,-0.0124996882709466,0.0579035517820243,0.1109622289943073,0.4077865789460873,0.0,,0.0806326048574841,0.0806326048574841,0.0,,,"{""UJAN"": 1.0}",,,,,,,-0.1317069789018295,-0.1369235976959283,,False,0.4172364462229413,116,95,95,95.0,0.0,1,0
all_weather_sleeve_trend_200,All weather / risk balance,all_weather_trend,long_rule,Fixed all-weather sleeve budgets; failed 200d trend moves to SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0695219379955724,0.0677757651322954,0.0661219953708825,0.822815497394087,-0.1148727114084697,0.0296033926559337,0.6052084706903377,-0.0094446462032707,-0.0443815214021174,0.1760050502631633,0.1189217491490104,3.266954077447572,0.0813466716845179,0.061717572370888,0.014453710510603,0.0327597617471872,0.0285633326167258,0.0,"{""DBC"": 0.07979846255709129, ""IEF"": 0.14725223458107342, ""SHY"": 0.07398737375800044, ""SPY"": 0.31381705249364705, ""TLT"": 0.3851448766101878}",0.1574481413657675,-0.0751447754464419,0.0908203317897862,-0.0312265779237792,-0.0624758960564477,-0.0624758960564477,0.0414233181064787,-0.0833416786089095,0.9537677255013418,False,0.4010088059009223,374,245,245,131.0,0.2,5,0
ETF_NTSX,Live capital-efficient ETF,capital_efficiency_live,short_live_product,"Buy-and-hold live ETF NTSX, evaluated only from its actual inception through 2021.",ETF-only,2018-08-02,2021-12-31,3.4166666666666665,0.1954506416212571,0.1952764126943769,0.1895812330178931,0.915339725822093,-0.2832700103948578,0.0502977521882499,0.6899799994669862,-0.0289685284168629,-0.0874272718435786,0.32150363566111,0.3265748108792517,0.0,,0.1954506416212571,0.1787303829275099,1.0,,,"{""NTSX"": 1.0}",,,,,-0.1589865170643596,-0.1628907848290036,-0.2807630690876098,-0.2832700103948578,,False,0.3794874263224844,123,76,76,38.0,0.0,5,0
retail_all_weather_fixed,Fixed allocation,all_weather_static,long_rule,"Quarterly rebalanced fixed ETF weights: {'SPY': 0.3, 'TLT': 0.4, 'IEF': 0.15, 'GLD': 0.075, 'DBC': 0.075}",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0815483506763117,0.0813999514249705,0.0754507440272338,0.86039121270126,-0.1516816305591578,0.034584100624237,0.5376283889861455,-0.0108269960856575,-0.0266006087594363,0.1918049699139086,0.1361600437849658,0.2744495483301611,0.0877233260676788,0.0774547955779949,0.023526695462261,0.300794176042356,0.041048309174565,0.1544876886417792,"{""DBC"": 0.0731205743969733, ""GLD"": 0.07474435629918025, ""IEF"": 0.14350119417481652, ""SPY"": 0.3159349414113813, ""TLT"": 0.39269893371764863}",-0.0851580122042126,-0.151681630559157,0.0765869119227722,-0.0293792592458099,-0.0427916862427608,-0.0456475136786426,-0.05128433507342,-0.1359190864597784,0.9649215542285134,False,0.3644599629280003,376,254,254,55.0,0.0,8,0
all_weather_inverse_vol_63,All weather / risk balance,all_weather_dynamic,long_rule,"Monthly inverse-vol across stock, Treasury, gold, commodity sleeves; 63d risk.",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0632320106482875,0.0627296979728682,0.0652372691271354,0.7341104293791273,-0.1115630126925528,0.0318635435224532,0.5667829249335828,-0.0093337598700528,-0.0565885220248921,0.1568070162727781,0.1314552497103509,0.9450960625347854,0.1003493134879489,0.0392063361865335,-0.0265012919468194,0.1783587028457975,0.0025992272875052,0.0814138204924543,"{""DBC"": 0.12042725472840785, ""GLD"": 0.17867560046097486, ""IEF"": 0.36853866448860817, ""SPY"": 0.19296864628776966, ""TLT"": 0.13938983403423946}",0.0771638347058685,-0.1115630126925523,0.0345720967910263,-0.0431861706853261,-0.0121733504738689,-0.0310327100955634,-0.0573203013132272,-0.1087612707741104,0.9089399530002245,False,0.3429025095875966,585,397,397,98.0,0.0,7,0
all_weather_vol_target_12,All weather / risk balance,all_weather_vol,long_rule,Monthly unlevered fixed all-weather portfolio scaled to 12% vol; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0772308105510488,0.0769072507079553,0.0724299334728783,0.8366567816171816,-0.1531032554232799,0.0356187963812477,0.5044361097190988,-0.0103679714438325,-0.0369670541796761,0.188204479759678,0.1237750257512369,0.6008036842414468,0.0848075175564448,0.0722135145759381,0.0247733326997268,0.2253474520185307,0.0417302107195955,0.0961080222398729,"{""DBC"": 0.07961469785109083, ""GLD"": 0.07611985140933782, ""IEF"": 0.14691313326597802, ""SPY"": 0.3130943756833242, ""TLT"": 0.3842579417902692}",-0.0829883890036198,-0.1531032554232818,0.0643555632981209,-0.0259677468424497,-0.0455209879181791,-0.0482859214016299,-0.0654190535486942,-0.138217586082168,0.956775680503416,False,0.3235227503479027,376,266,266,70.0,0.0,8,0
all_weather_vol_target_10,All weather / risk balance,all_weather_vol,long_rule,Monthly unlevered fixed all-weather portfolio scaled to 10% vol; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0757835281921466,0.075433354317566,0.0711559840221462,0.8317309797304607,-0.1531032554232799,0.0364039672987379,0.4949831274497082,-0.010236024634089,-0.0469237291229402,0.1882044797596769,0.1237098554690421,0.6510926056635459,0.0828487695346764,0.0711031199461422,0.0247733326997268,0.2107875579086697,0.0417302107195951,0.0873709293089753,"{""DBC"": 0.07961469785109083, ""GLD"": 0.07611985140933784, ""IEF"": 0.14691313326597802, ""SPY"": 0.3130943756833242, ""TLT"": 0.38425794179026923}",-0.0793054629708445,-0.1531032554232818,0.0643555632981209,-0.0259677468424501,-0.0455209879181797,-0.0482859214016302,-0.0654190535486937,-0.1382175860821678,0.9547436499942292,False,0.311597694386319,383,273,273,71.5,0.0,8,0
sector_downside_vol_budget,Sector allocation,sector_downside,long_rule,Downside/trend sectors scaled to 8% downside-vol budget; 50% cap below SPY 200d MA.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0814319600599424,0.0794518304607776,0.1038303987912188,0.612470246622564,-0.14808608657189,0.0539954480157047,0.5498960904771456,-0.016657094346457,-0.0806126513004675,0.309247364553866,0.1820606899348173,3.6649561397224777,0.0489809860216201,0.1036019884141659,0.0052850814688145,0.2273328921244209,0.0170048564609737,0.3292295472597299,"{""XLB"": 0.11798118819124341, ""XLE"": 0.06355981665380876, ""XLF"": 0.09650049091789774, ""XLK"": 0.131102886459558, ""XLP"": 0.170327670344398, ""XLU"": 0.12834751159155425, ""XLV"": 0.16931980354719814, ""XLY"": 0.12286063229434169}",-0.0395033081622618,-0.081752561411317,-0.0864246108650848,-0.1426908718654774,-0.1173576382825265,-0.1210063079403148,-0.0966673038416302,-0.1205278183628182,0.805034753992064,False,0.3056549272457916,481,274,274,33.0,0.2857142857142857,14,0
all_weather_inverse_vol_126,All weather / risk balance,all_weather_dynamic,long_rule,"Monthly inverse-vol across stock, Treasury, gold, commodity sleeves; 126d risk.",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0623551793231413,0.0620443831103545,0.0654892648900673,0.7185428015229978,-0.1183378232709909,0.0335787056077583,0.5269251841851901,-0.0093589422474191,-0.0580016197775816,0.1501217291609304,0.1258391648639887,0.5852171207719419,0.097921573677852,0.0393067904570765,-0.0282172332180171,0.1631369953673064,0.0037001527746001,0.0802223987291501,"{""DBC"": 0.11345294881161916, ""GLD"": 0.16390538498940027, ""IEF"": 0.3759534009616626, ""SPY"": 0.2039643974063341, ""TLT"": 0.14272386783098406}",0.0716317616217308,-0.1183378232709907,0.041081481975923,-0.0385675278237563,-0.0133852828519845,-0.0308146592216396,-0.0590536986458825,-0.1109035270942911,0.8985984741161708,False,0.305356395351333,926,178,178,58.0,0.0,7,0
all_weather_inverse_vol_126_cap35,All weather / risk balance,all_weather_dynamic,long_rule,Monthly 126d inverse-vol all-weather with 35% sleeve cap; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0652727944447701,0.064979226820222,0.0674596149383228,0.7372367263542783,-0.1260532652937742,0.0339561147934382,0.5178191480613236,-0.0096620927782175,-0.0589718170440164,0.1528343253762754,0.1215217960036139,0.5512441761281112,0.0982407568763032,0.0438645293601842,-0.0293282244855079,0.1826604897418927,0.004837757042351,0.0802223987291501,"{""DBC"": 0.11980226254123758, ""GLD"": 0.17307823348890972, ""IEF"": 0.3410290761142331, ""SPY"": 0.21537912009420088, ""TLT"": 0.1507113077614189}",0.0588808897974137,-0.1260532652937744,0.0388485233173732,-0.0404708414863239,-0.0183112343247856,-0.03367541745367,-0.0607855230249049,-0.1122229446800698,0.9106697535838878,False,0.3035572304285835,925,178,178,78.0,0.0,8,0
ETF_USMV,Live smart-beta ETF,smart_beta_live,live_product_medium,"Buy-and-hold live ETF USMV, evaluated only from its actual inception through 2021.",ETF-only,2011-10-20,2021-12-31,10.186507936507937,0.1429600787403719,0.1429046148277555,0.1375731201032574,0.9584577853667144,-0.3309887097378013,0.0402159244029347,0.4319182936892934,-0.0203089409285448,0.0133511888531745,0.2768523787403631,0.1749319668074911,0.0,0.1414066817899149,0.1431658034968601,0.0104142900388584,0.9260485651214128,0.0423363097034183,0.9571865443425076,"{""USMV"": 1.0}",,,,,-0.1226621944795155,-0.1228158914225872,-0.3305084103531671,-0.3305084103531671,,False,0.2799053685027103,226,202,202,37.0,0.18181818181818182,11,0
QQQ_vol_target_15,Equity P&L control,pnl_vol,long_rule,Weekly unlevered QQQ 63d volatility target 15%; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.133052182953042,0.1319546717553656,0.1517705938367543,0.7579241870637957,-0.2809605906173811,0.0781152269587201,0.4735617285708075,-0.0233903947149973,-0.2053728062153088,0.3651985697530868,0.141020446753551,1.938105791966117,0.0825387669188175,0.167999253892719,0.015085914301494,0.8596955658504302,0.0493480104691603,0.8566322478157268,"{""QQQ"": 0.7794763469239855, ""SHY"": 0.22052365307601446}",-0.2615035025637534,-0.2809605906173819,-0.1015974805687798,-0.1342134641069019,-0.1620003659470372,-0.1637106269951237,-0.2134248466480223,-0.2243779369154108,0.9213246216473056,False,0.273996474918535,541,207,207,37.0,0.20833333333333334,24,1
QQQ_60_IEF_40,Fixed allocation,balanced_growth,long_rule,"Quarterly rebalanced fixed ETF weights: {'QQQ': 0.6, 'IEF': 0.4}",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.126725426192527,0.1265870519694765,0.1201858000633426,0.8779749611528569,-0.3054915278508915,0.0607140072835276,0.4148246829757613,-0.0180924812749759,-0.208474451446853,0.3487257431285695,0.1405905816724339,0.2456340232543548,0.0891294546233238,0.1524846617534119,0.0270690404230333,0.7845797485109199,0.0688603307366118,0.8423351866560762,"{""IEF"": 0.37540025976912716, ""QQQ"": 0.6245997402308728}",-0.2859756934481098,-0.305491527850891,-0.0396260641895788,-0.0736594316986071,-0.1223479682530004,-0.1225941244940512,-0.1424555079603987,-0.1525119022407893,0.9701287858430956,False,0.2465631648948455,590,324,324,33.0,0.23529411764705882,17,0
all_weather_sleeve_trend_100,All weather / risk balance,all_weather_trend,long_rule,Fixed all-weather sleeve budgets; failed 100d trend moves to SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0567389009211889,0.0538289742334137,0.064376440621924,0.6468340511287718,-0.1213575589088796,0.0351926323132577,0.4675349556412129,-0.0093263569567165,-0.0672666599749526,0.1727820020212056,0.182630192993278,5.512969592636737,0.0664257785629538,0.0503355527176483,5.615782669110558e-06,0.0704831237590999,0.0191065956520828,0.0,"{""SHY"": 0.2974631588827703, ""SPY"": 0.31542210178782837, ""TLT"": 0.38711473932940127}",0.0466931730514166,-0.0751447754464414,0.1118756732442971,-0.0312265779237792,-0.0142989584254111,-0.0338614861807928,0.041423318106478,-0.0833416786089095,0.8417035967943283,False,0.2408029196067267,654,412,412,83.5,0.16666666666666666,6,0
SPY_fast_exit_slow_reentry,Equity P&L control,pnl_hysteresis,long_rule,Weekly SPY exit on 200d/VIX failure; re-enter after four consecutive good weeks.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.086561724944175,0.0844614017623803,0.110617061700469,0.6284382577624535,-0.1771672706597351,0.0638627279157285,0.4885875626002288,-0.0187672132748594,-0.0982016990410317,0.3230772717957029,0.1830366266480343,3.867803985219464,0.0704237171469206,0.0974456802337118,0.0106631130240151,0.2948378557246856,0.0306751877399822,0.2736298649722001,"{""SHY"": 1.0}",-0.0086996783930692,-0.0853889725510252,-0.1655039000039605,-0.1668412862817653,-0.0855634216030089,-0.0982215730955629,-0.0720702783824032,-0.1243718931097144,0.819691814329494,False,0.237177793717323,591,406,406,48.0,0.23529411764705882,17,0
all_weather_inverse_vol_252,All weather / risk balance,all_weather_dynamic,long_rule,"Monthly inverse-vol across stock, Treasury, gold, commodity sleeves; 252d risk.",ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.059081203615344,0.0587818506387221,0.0656179354502763,0.6683986479717154,-0.1300094735662322,0.034527055169422,0.4544376805375313,-0.009437435026594,-0.0530043045234135,0.143640633477303,0.123808970808587,0.5653280291473313,0.0867382266316945,0.0410511206925914,-0.0280331234873704,0.1396426207809397,0.0043285926106173,0.0039714058776806,"{""DBC"": 0.11687846043334506, ""GLD"": 0.1532981704342231, ""IEF"": 0.39969817463422613, ""SPY"": 0.18038923055117068, ""TLT"": 0.14973596394703503}",0.0442568483799217,-0.1300094735662323,0.0321894815456007,-0.0396032887433518,-0.0150004774457589,-0.0307402510783577,-0.0537267782111078,-0.1094568711812404,0.8603716282702398,False,0.2311917057146547,478,290,290,139.0,0.0,6,0
ETF_QUAL,Live smart-beta ETF,smart_beta_live,live_product_medium,"Buy-and-hold live ETF QUAL, evaluated only from its actual inception through 2021.",ETF-only,2013-07-18,2021-12-31,8.456349206349206,0.1523275907944645,0.1522588730318466,0.1677873178072605,0.8497735963002596,-0.3405674276529385,0.0466889335632844,0.4472758650005037,-0.0257946695592621,-0.0570505292038746,0.3389380389888914,0.2062618069911452,0.0,,0.1523275907944645,0.0003492483877043,0.8670058139534884,0.0299500074049148,0.8761467889908257,"{""QUAL"": 1.0}",,,,,-0.2001365510413735,-0.2037487645728082,-0.3383630465895398,-0.3405674276529388,,False,0.2086051195416546,141,133,133,37.5,0.4166666666666667,12,0
sector_defensive_upside_barbell,Sector allocation,sector_barbell,long_rule,50% defensive inverse-downside sleeve plus trend-eligible top cyclical sectors; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1103120343971992,0.1085418319887165,0.1365883780964319,0.6803401479799771,-0.2535281625053878,0.0639617042111048,0.4351076160813298,-0.021077428421878,-0.1548282556798933,0.3379470317989066,0.1590229149498326,3.1903747612285205,0.0633082257706629,0.1427675871690112,-0.0020631605247958,0.5777630708140304,0.0340343722406339,0.6572676727561557,"{""XLE"": 0.16249945301603372, ""XLK"": 0.16342242769259846, ""XLP"": 0.1873824776929284, ""XLU"": 0.14119887085356528, ""XLV"": 0.18627369379855654, ""XLY"": 0.1592230769463177}",-0.2305781790529023,-0.2535281625053862,-0.1019035321097079,-0.1602160249855745,-0.0814896430900983,-0.0845073950665602,-0.2240622018883696,-0.2252750207127392,0.8689395720304536,False,0.1976872070540629,510,226,226,23.0,0.4090909090909091,22,0
ETF_MTUM,Live smart-beta ETF,smart_beta_live,live_product_medium,"Buy-and-hold live ETF MTUM, evaluated only from its actual inception through 2021.",ETF-only,2013-04-18,2021-12-31,8.706349206349206,0.1710969079819602,0.1710296040978032,0.1896201202109712,0.8627802423516282,-0.3408229679132286,0.0508185630530062,0.5020110851963486,-0.029428612774148,-0.0167346181043925,0.3749605611500106,0.2344325219354207,0.0,,0.1710969079819602,0.0465416521232364,0.980542043085476,0.0590254426165339,0.9871657754010696,"{""MTUM"": 1.0}",,,,,-0.2171727522930894,-0.2212302573091279,-0.3392805451465718,-0.3408229679132284,,False,0.1924865142488727,177,120,120,53.0,0.3125,16,1
GTAA_trend_100,Cross-asset tactical,tactical_trend,long_rule,Monthly equal sleeve GTAA; each asset below 100d MA moves to SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.0476675019194059,0.0449783490528772,0.0725334168140341,0.4261862473726076,-0.1066996052013504,0.0380286386205077,0.4467448762294261,-0.0111481250726936,-0.055473259355903,0.1789125453000406,0.2005212667756596,5.138695454981237,0.0674239256720401,0.0347114877250884,-0.0215009362998425,0.0344142951687624,-0.0022443573364603,0.0,"{""SHY"": 0.6131684900071807, ""SPY"": 0.13003754454470468, ""TLT"": 0.11969544114251715, ""VNQ"": 0.1370985243055975}",-0.0041232054712365,-0.106699605201351,0.0110226168049323,-0.0296906235147277,-0.0326560668067238,-0.0353393766066897,-0.0019429474757701,-0.0448386965984616,0.5600604509437929,False,0.174910441511819,588,344,344,216.0,0.0,7,0
